a : 			eyk
acuteness : 	n.##firaasat&nbsp;/&nbsp;zakaawat
demi : 		a.##aadha
ad hoc : 			is KHaas maqsad key li'ey&nbsp;/&nbsp;waqti
ad hominem : 		kisi key liey&nbsp;/&nbsp;zaati
ad infinitum : 	a&nbsp;/&nbsp;adv.##abdi&nbsp;/&nbsp;daa'emi&nbsp;/&nbsp;naa inteha
ad interim : 		waqti taur par
ad lib : 		adv.##bila paa bandi&nbsp;/&nbsp;bar jastah
ad nauseum : 	adv.##mariizaanah Had tak
adage : 		n.##kahaawat&nbsp;/&nbsp;zarb ul masal
adamant : 	n.##aRyal&nbsp;/&nbsp;kaRa&nbsp;/&nbsp;KHud pasand&nbsp;/&nbsp;ziddi
(to be)adament : 		phuul jaana
adamantly : 	adv.##zid sey
adapt : 		v.t.##mowaafiq banaana&nbsp;/&nbsp;munaasib banaana
adapt : 		v.i.##mowaafiq hona
adaptable : 	a.##munaasib&nbsp;/&nbsp;qaabil e nubaasibat&nbsp;/&nbsp;saaz gar
adaptation : 	n.##mowaafiqat
add : 		v.t.##beySHi karna&nbsp;/&nbsp;ezaafah karna&nbsp;/&nbsp;joRna&nbsp;/&nbsp;peywand lagaana
added : 		a.##maziid
addendum : 	n.##izaafah&nbsp;/&nbsp;zamiimah
adder : 		n.##afi
addict : 		v.t.##aadatan istemaal
addict : 		n.##aadi
addicted : 	a.##aadi&nbsp;/&nbsp;KHu gar
addiction : 	n.##aadat&nbsp;/&nbsp;dhut&nbsp;/&nbsp;illat&nbsp;/&nbsp;lat&nbsp;/&nbsp;naSHah
addictive : 	a.##lat aawar&nbsp;/&nbsp;naSHah aawar
addition : 	n.##beySHi&nbsp;/&nbsp;joR&nbsp;/&nbsp;ezaafah&nbsp;/&nbsp;peywand lagaana
additional : 	a.##ezaafi&nbsp;/&nbsp;maziid&nbsp;/&nbsp;mustazaad&nbsp;/&nbsp;zimni
address : 	n.##KHitaab&nbsp;/&nbsp;patah&nbsp;/&nbsp;taqriir
address : 	v.t.##KHitaab karna
addressing : 	n.##yaad farmaa'i
adduce : 		v.t.##laana&nbsp;/&nbsp;tazkirah karna&nbsp;/&nbsp;zikr laana
adept : 		n.##hunar mand&nbsp;/&nbsp;kaari gar&nbsp;/&nbsp;maahir
adept : 		a.##laa'eq&nbsp;/&nbsp;puura
adequacy : 	n.##ektefa&nbsp;/&nbsp;mauzuuniyat
adequate : 	n.##kaafi&nbsp;/&nbsp;mauzuun
adhere : 		v.i.##chimaTna&nbsp;/&nbsp;chipakna&nbsp;/&nbsp;chipaTna&nbsp;/&nbsp;laaHiq hona&nbsp;/&nbsp;lagna&nbsp;/&nbsp;lagan&nbsp;/&nbsp;lagaa'o rakhna&nbsp;/&nbsp;paa band raehna&nbsp;/&nbsp;waa bastah hona
adherence : 	n.##girwiidgi&nbsp;/&nbsp;isteqaamat&nbsp;/&nbsp;paa bandi&nbsp;/&nbsp;paerawi&nbsp;/&nbsp;ustuwaari&nbsp;/&nbsp;waabastahgi
adherent : 	a.##chaspaan&nbsp;/&nbsp;mulHiq&nbsp;/&nbsp;peywastah&nbsp;/&nbsp;waa bastah
adherent : 	n.##Haami&nbsp;/&nbsp;rafiiq&nbsp;/&nbsp;taraf daar
adhering : 	a.##paa band
adhesion : 	n.##chipak
adhesive : 	n.##cheyp&nbsp;/&nbsp;leys&nbsp;/&nbsp;loaab
adhesive : 	a.##chaspandah&nbsp;/&nbsp;leys daar&nbsp;/&nbsp;loaab daar
adhesiveness : 	n.##chip chipaahaT(f.)
adieu : 		intj&nbsp;/&nbsp;n.##KHuda Haafiz&nbsp;/&nbsp;supurd e KHuda
adjacency : 	n.##itsaal&nbsp;/&nbsp;nazdiiki&nbsp;/&nbsp;qurb
adjacent : 	n.##muttasil&nbsp;/&nbsp;paas&nbsp;/&nbsp;qariib&nbsp;/&nbsp;qariib qariib
adjective : 	n.##sifat
adjoin : 		v.t.##ezaafah karna&nbsp;/&nbsp;laga deyna&nbsp;/&nbsp;milaana&nbsp;/&nbsp;mulHiqah karna
adjoining : 	a.##baraabar&nbsp;/&nbsp;laaHiq&nbsp;/&nbsp;mulHiqah&nbsp;/&nbsp;muttasillah
adjourn : 	v.t.##multawi karna
adjournment : 	n.##iltawa&nbsp;/&nbsp;waqfah(m.)
adjunct : 	n.##laaHiqah(m.)
adjust : 		v.t.##durust karna&nbsp;/&nbsp;ham aahang karna&nbsp;/&nbsp;mowaafiq banaana
adjustment : 	n.##faeslah(m.)
adjutant : 	n.##moaawin e askari(m.)
adjuvant : 	a.##madad gaar
addle : 		a.##banjar&nbsp;/&nbsp;gadla&nbsp;/&nbsp;KHaali
administer : 	v.t.##band o bast karna&nbsp;/&nbsp;intezaam karna
administration :  n.##amal&nbsp;/&nbsp;Hukuumat&nbsp;/&nbsp;intezaamiyah&nbsp;/&nbsp;nazaamat&nbsp;/&nbsp;nizaam&nbsp;/&nbsp;zabt
administrative :  a.##amli&nbsp;/&nbsp;intezaami
administrator : 	n.##naazim&nbsp;/&nbsp;muntazim&nbsp;/&nbsp;munsarim&nbsp;/&nbsp;sar baraah
admirable : 	a.##qaabil e sataa'iSH&nbsp;/&nbsp;qaabil e tariif&nbsp;/&nbsp;taeHsiin
admirably : 	adv.##imdagi sey
admiral : 	n.##amiir ul baeHr
admiralty : 	n.##imaarat ul baeHriyah
admiration : 	n.##girwiidgi&nbsp;/&nbsp;madaH&nbsp;/&nbsp;sataa'iSH&nbsp;/&nbsp;taajjub&nbsp;/&nbsp;tariif
admire : 		v.t.##taajjub karna&nbsp;/&nbsp;tariif karna
admirer : 	n.##aaSHiq&nbsp;/&nbsp;maddaaH&nbsp;/&nbsp;sana KHwaan
admissible : 	a.##jaa'ez&nbsp;/&nbsp;Halaal&nbsp;/&nbsp;mubaaH&nbsp;/&nbsp;qaabil e qubuul&nbsp;/&nbsp;rawa
admissibility : 	n.##jaaz'ez pan&nbsp;/&nbsp;qubuul pan
admission : 	n.##baar yaabi&nbsp;/&nbsp;daaKHilah&nbsp;/&nbsp;guzar&nbsp;/&nbsp;eqbaal e jurm&nbsp;/&nbsp;eqraar&nbsp;/&nbsp;mudaaKHilat&nbsp;/&nbsp;pahonch&nbsp;/&nbsp;rasaa'i&nbsp;/&nbsp;tasliim
admit : 		v.t.##daKHl karna&nbsp;/&nbsp;eqraar karna&nbsp;/&nbsp;farz karna&nbsp;/&nbsp;maanna&nbsp;/&nbsp;manzuur karna
admit defeat : 	n.##hath yaar Daal deyna
admitted : 	a.##daaKHil&nbsp;/&nbsp;musallam&nbsp;/&nbsp;tasliim
admittedly : 	adv.##albattah
admitting : 	a.##muqiir&nbsp;/&nbsp;paziir
admonish : 	v.t.##jataana&nbsp;/&nbsp;jhaaRna&nbsp;/&nbsp;kaehna&nbsp;/&nbsp;malaamat karna&nbsp;/&nbsp;sabaq deyna&nbsp;/&nbsp;sar zaniSH karna
admonition : 	n.##ibrat&nbsp;/&nbsp;nasiiHat&nbsp;/&nbsp;pand&nbsp;/&nbsp;taadiib&nbsp;/&nbsp;tanbiih&nbsp;/&nbsp;sar zaniSH
admonitory : 	a.##ibrat angeyz
adobe : 		n.##kachchi iinT
adolescence : 	n.##uThti jawaani
adopt : 		v.t.##apnaana&nbsp;/&nbsp;eKHteyaar karna&nbsp;/&nbsp;god leyna&nbsp;/&nbsp;ley paalak banaana&nbsp;/&nbsp;misteaar leyna
adopted : 	a.##ley paalak
adoption : 	n.##eKHteyaar&nbsp;/&nbsp;inteKHaab
adorable : 	n.##dil kaSH&nbsp;/&nbsp;farHat za&nbsp;/&nbsp;qaabil e tariif
adoration : 	n.##ibuudiyat&nbsp;/&nbsp;parastiSH
adore : 		v.t.##taziim karna&nbsp;/&nbsp;moHabbat karna
adorer : 		n.##parastaar
adorn : 		v.t.##aaraastah karna&nbsp;/&nbsp;sajaana&nbsp;/&nbsp;ziinat deyna
adorned : 	a.##maziin&nbsp;/&nbsp;murassa&nbsp;/&nbsp;zeyba
adorning : 	a.##aara&nbsp;/&nbsp;zeyb o ziinat&nbsp;/&nbsp;zeyba
adornment : 	n.##aaraa'iSH&nbsp;/&nbsp;banaa'o singhaar&nbsp;/&nbsp;singhaar
adrift : 		a&nbsp;/&nbsp;adv.##alag&nbsp;/&nbsp;bey kas&nbsp;/&nbsp;bey Thikaana&nbsp;/&nbsp;bey samt&nbsp;/&nbsp;qaasir
adroit : 		n.##chaalaak&nbsp;/&nbsp;chaabuk dast&nbsp;/&nbsp;chust&nbsp;/&nbsp;fahiim&nbsp;/&nbsp;maahir
adulate : 	v.t.##chaap luusi karna&nbsp;/&nbsp;KHuSH aamdi karna
adulatory : 	a.##KHuSH aamdana
adult : 		n.##baaliGH&nbsp;/&nbsp;jawaan&nbsp;/&nbsp;pur SHabaab&nbsp;/&nbsp;siyaana
adult franchise : n.##baaliGH raa'ey dahi
adulterate : 	v.t.##milaawaT karna
adulterated : 	a.##milaawaTi&nbsp;/&nbsp;naa qis
adulteration : 	n.##aameyziSH&nbsp;/&nbsp;khoT&nbsp;/&nbsp;laus&nbsp;/&nbsp;milaawaT
adulterer : 	n.##faasiq(m.)&nbsp;/&nbsp;faasiqah(f.)&nbsp;/&nbsp;zaani
adulteress : 	n.##zaaniyah
adulterous : 	a.##Haraam
adultery : 	n.##fisq&nbsp;/&nbsp;Haraam&nbsp;/&nbsp;milaawaT&nbsp;/&nbsp;siyaah kaari&nbsp;/&nbsp;zina
adulteration : 	n.##aaluudgi(f.)&nbsp;/&nbsp;khoT(f.)&nbsp;/&nbsp;milaawat(f.)
advance : 	a.##peySH daaSHt
advance : 	v.i.##aagey baRhna
advance : 	v.t.##aagey karna
advance : 	n.##peySH qadmi&nbsp;/&nbsp;peySHgi
advance guard : 	n.##haraawal dastah&nbsp;/&nbsp;peySH rau
advanced : 	a.##qabl az waqt&nbsp;/&nbsp;taraqqi yaaftah
advancement : 	n.##baRhaawa&nbsp;/&nbsp;bar tari&nbsp;/&nbsp;peySH qadmi&nbsp;/&nbsp;taraqqi
advantage : 	n.##faa'edah&nbsp;/&nbsp;Husuul&nbsp;/&nbsp;jiit&nbsp;/&nbsp;paehlu
advantageous : 	a.##faa'edah mand&nbsp;/&nbsp;mufiid&nbsp;/&nbsp;suud mand
advent : 		n.##aamad(f.)&nbsp;/&nbsp;zuhuur(m.)
adventitious : 	a.##ajnabi&nbsp;/&nbsp;GHaer&nbsp;/&nbsp;ittefaaqi&nbsp;/&nbsp;izaafi
adversarial : 	a.##duSHmanaanah&nbsp;/&nbsp;muKHaalifaanah&nbsp;/&nbsp;raqiibaanah
adversary : 	n.##inaadi(m.)&nbsp;/&nbsp;duSHman(m.)&nbsp;/&nbsp;Hariif(m.)&nbsp;/&nbsp;madde muqaabil(m.)&nbsp;/&nbsp;muKHaalif(m.)&nbsp;/&nbsp;raqiib(m.)
adverse : 	a.##aafat&nbsp;/&nbsp;duSHman aanah&nbsp;/&nbsp;kaRwa kasiila&nbsp;/&nbsp;muKHaalif&nbsp;/&nbsp;naa mowaafiq&nbsp;/&nbsp;naa saaz&nbsp;/&nbsp;naa saaz gaar&nbsp;/&nbsp;naqiiz
adversity : 	n.##bipta&nbsp;/&nbsp;bad baKHti&nbsp;/&nbsp;falaakat&nbsp;/&nbsp;musiibat&nbsp;/&nbsp;naHuusat&nbsp;/&nbsp;neysti&nbsp;/&nbsp;SHaamat
advert : 		v.i.##dhyaan&nbsp;/&nbsp;leHaaz
advertise : 	v.t.##aagaah karna&nbsp;/&nbsp;ittelaa deyna&nbsp;/&nbsp;muSHtahir karna
advertised : 	a.##muSHtahir
advertisement : 	n.##ilaan&nbsp;/&nbsp;iSHtehaar
advertiser : 	n.##muSHtahir(m.)
advertising : 	n.##iSHtehaar baazi&nbsp;/&nbsp;kaar o baar e iSHtehaar
advice : 		n.##fikr&nbsp;/&nbsp;hedaayat&nbsp;/&nbsp;intibaah&nbsp;/&nbsp;kaha suna&nbsp;/&nbsp;maSHwirah&nbsp;/&nbsp;nasiiHat&nbsp;/&nbsp;paeGHaam&nbsp;/&nbsp;pand&nbsp;/&nbsp;panchaayat&nbsp;/&nbsp;raa'ey&nbsp;/&nbsp;salaaH&nbsp;/&nbsp;tadbiir
advisabile : 	a.##mauzuun&nbsp;/&nbsp;mowaafiq  
advisability : 	n.##mauzuuniyat&nbsp;/&nbsp;mowaafiqiyat 
advise : 		v.t.##GHaur karna&nbsp;/&nbsp;kaehna&nbsp;/&nbsp;maSHwirah deyna&nbsp;/&nbsp;sikhaana
advise : 		v.i.##maSHwirah leyna&nbsp;/&nbsp;salaaH karna'
advisedly : 	adv.##daanistah&nbsp;/&nbsp;samajh buujh kar
advisor : 	n.##muSHaawir(m.)&nbsp;/&nbsp;muSHiir(m.)&nbsp;/&nbsp;naasiH(m.)&nbsp;/&nbsp;panch(f.)&nbsp;/&nbsp;salaaH kaar(m.)
advisory : 	a.##muSHaawrati
advocacy : 	n.##Hemaayat(f.)&nbsp;/&nbsp;paeru kaari(f.)&nbsp;/&nbsp;wakaalat(f.)
advocate : 	n.##wakiil
advocate : 	v.t.##Hemaayat karna&nbsp;/&nbsp;taa'id karna
aegis : 		n.##panaah&nbsp;/&nbsp;sar parasti
aerate : 		v.t.##hawa bharna
aerial : 		n.##hawaa'i&nbsp;/&nbsp;fezaa'i
aerie : 		a.##murtafa
aeronaut : 	n.##hawa naward&nbsp;/&nbsp;taiyaar chi
aeronautics : 	n.##tairaaniyaat&nbsp;/&nbsp;ilm e taiyaarah saazi
aesthetics : 	n.##hunar haa'ey zeyba&nbsp;/&nbsp;funuun latiifah ka nazriyah&nbsp;/&nbsp;jamaaliyaat&nbsp;/&nbsp;zeybaa'i SHinaasi
afar : 		adv.##bahot parey&nbsp;/&nbsp;duur
affable : 	a.##KHaliiq&nbsp;/&nbsp;mutaHammil&nbsp;/&nbsp;saliim
affability : 	n.##SHaa'estahgi(f.)
affair : 		n.##baat&nbsp;/&nbsp;beopaar&nbsp;/&nbsp;Haal&nbsp;/&nbsp;jhaRap&nbsp;/&nbsp;kaam kaaj&nbsp;/&nbsp;kaar o baar&nbsp;/&nbsp;maajra&nbsp;/&nbsp;moamalah&nbsp;/&nbsp;waardaat
affect : 		v.t.##asar Daalana
affect : 		n.##banaawaT&nbsp;/&nbsp;jazbah&nbsp;/&nbsp;lagna&nbsp;/&nbsp;taa'ssur&nbsp;/&nbsp;tasanno
affectation : 	n.##banaawaT&nbsp;/&nbsp;Dhakosla&nbsp;/&nbsp;naKHrah&nbsp;/&nbsp;namuud&nbsp;/&nbsp;numaa'iSH&nbsp;/&nbsp;priit&nbsp;/&nbsp;tasanno&nbsp;/&nbsp;ulfat
(maternal)affection :  n. maamta(f.)
affected : 	a.##maa'el&nbsp;/&nbsp;mutaa'ssir&nbsp;/&nbsp;raaGHib&nbsp;/&nbsp;reya kaar
affectedly : 	adv.##zaahir daar aanah
affection : 	n.##aqiidat&nbsp;/&nbsp;iSHq&nbsp;/&nbsp;&nbsp;/&nbsp;chaah(f.)&nbsp;/&nbsp;chaahat(f.)&nbsp;/&nbsp;kaefiyat&nbsp;/&nbsp;laag&nbsp;/&nbsp;lagaawaT&nbsp;/&nbsp;lagan&nbsp;/&nbsp;moHabbat&nbsp;/&nbsp;piit&nbsp;/&nbsp;rujHaan&nbsp;/&nbsp;SHafqat&nbsp;/&nbsp;ulfat&nbsp;/&nbsp;uns
affectionate : 	a.##muSHfiq&nbsp;/&nbsp;narm dil&nbsp;/&nbsp;preymi&nbsp;/&nbsp;raeHm dil&nbsp;/&nbsp;SHafiiq
affectionateness : n.##dildaadgi
affidavit : 	n.##zabaan bandi
affiliate : 	v.t.##ilHaaq karna&nbsp;/&nbsp;mulHiq ho leyna
affiliation : 	n.##ilaaqa&nbsp;/&nbsp;ilHaaq
affinity : 	n.##ilaaqah&nbsp;/&nbsp;laag&nbsp;/&nbsp;naatah&nbsp;/&nbsp;nisbat&nbsp;/&nbsp;qurbat&nbsp;/&nbsp;rabt&nbsp;/&nbsp;raGHbat
affirm : 		v.t.##elaan karna&nbsp;/&nbsp;dawah karna
affirmation : 	n.##eqraar&nbsp;/&nbsp;tasdiiq&nbsp;/&nbsp;tausiiq
affirmative : 	n.##asbaati&nbsp;/&nbsp;Haami&nbsp;/&nbsp;iijaabi
affirmative : 	a.##masbat
affix : 		v.t.##baandhna&nbsp;/&nbsp;milaana&nbsp;/&nbsp;natthi karna
affix : 		n.##ezaafah&nbsp;/&nbsp;laaHiqah&nbsp;/&nbsp;zamiimah
affixed : 	a.##chaspaan
afflict : 	v.t.##aafat toRna&nbsp;/&nbsp;aziiyat deyna&nbsp;/&nbsp;dukh deyna&nbsp;/&nbsp;musiibat deyna&nbsp;/&nbsp;piisna
afflicted : 	a.##figaar&nbsp;/&nbsp;GHam diidah&nbsp;/&nbsp;Haziin&nbsp;/&nbsp;maa'uuf&nbsp;/&nbsp;ranjiidah&nbsp;/&nbsp;sog waar
affliction : 	n.##aafat&nbsp;/&nbsp;alam&nbsp;/&nbsp;dard&nbsp;/&nbsp;Huzn&nbsp;/&nbsp;kasar&nbsp;/&nbsp;KHaraabi&nbsp;/&nbsp;musiibat&nbsp;/&nbsp;ranj&nbsp;/&nbsp;sadmah&nbsp;/&nbsp;zarar
affluence : 	n.##bohtaat&nbsp;/&nbsp;daulat mandi&nbsp;/&nbsp;faraaGHat&nbsp;/&nbsp;fara waani&nbsp;/&nbsp;kasrat&nbsp;/&nbsp;sarwat
affluent : 	a.##rawaan&nbsp;/&nbsp;baehta hu'a
afford : 		v.t.##deyna&nbsp;/&nbsp;maanna&nbsp;/&nbsp;maqduur&nbsp;/&nbsp;qaabil e bar daaSHt hona
affray : 		n.##hangaamah&nbsp;/&nbsp;laRaa'i
affront : 	v.t.##aamna saamna hona&nbsp;/&nbsp;gustaaKHi karna&nbsp;/&nbsp;hattak karna&nbsp;/&nbsp;tauhiin karna
affront : 	n.##bey izzat&nbsp;/&nbsp;gustaaKHi&nbsp;/&nbsp;hattak&nbsp;/&nbsp;subki&nbsp;/&nbsp;tauhiin&nbsp;/&nbsp;zillat
Afghan Rifle : 	n.##jazael(f.)
aficionado : 	n.##aqiidat mand&nbsp;/&nbsp;joSHiila&nbsp;/&nbsp;pur joSH pujaari
afire : 		a&nbsp;/&nbsp;adv.##aatiSH giraftah&nbsp;/&nbsp;jalta hu'a&nbsp;/&nbsp;sozaan
aflame : 		a&nbsp;/&nbsp;adv.##dahekta&nbsp;/&nbsp;damakta&nbsp;/&nbsp;daraKHSHan&nbsp;/&nbsp;SHolah zan
afloat : 		a&nbsp;/&nbsp;adv.##bey Thikaana&nbsp;/&nbsp;taerta&nbsp;/&nbsp;saelaab zadah
afoot : 		a&nbsp;/&nbsp;adv.##chalta&nbsp;/&nbsp;paedal
aforesaid : 	a.##sabiqah
aforementioned : 	a.##mazkuurah baala
afraid : 		a.##Dara hu'a&nbsp;/&nbsp;hiraasaan&nbsp;/&nbsp;KHaa'ef&nbsp;/&nbsp;KHauf zadah&nbsp;/&nbsp;mutazabzab
afresh : 		adv.##az sar e nau&nbsp;/&nbsp;phir sey
African : 	a.##afriiqi
afront : 		adv.##bil muqaabil&nbsp;/&nbsp;saamney
after : 		a.##aqab meyn&nbsp;/&nbsp;bad meyn&nbsp;/&nbsp;piichhey&nbsp;/&nbsp;pichhla
after : 		adv.##bad az waqt&nbsp;/&nbsp;pas&nbsp;/&nbsp;piichhey
after-effect : 	n.##asr maa bad
afterglow : 	n.##pas taab&nbsp;/&nbsp;SHafaq
afterlife : 	n.##Hayaat e maa bad&nbsp;/&nbsp;Hayaat bad al maut
aftermath : 	n.##maa Haasil&nbsp;/&nbsp;natiijah
afternoon : 	n.##do paehr
afternoon(late) :  n.##saeh paehr
afterwards : 	adv.##aayandah&nbsp;/&nbsp;bad meyn&nbsp;/&nbsp;piichhey&nbsp;/&nbsp;phir
again : 		adv.##aayandah&nbsp;/&nbsp;baaz&nbsp;/&nbsp;do baarah&nbsp;/&nbsp;jawaaban&nbsp;/&nbsp;maziid&nbsp;/&nbsp;mukarrar&nbsp;/&nbsp;phir&nbsp;/&nbsp;waapas
again and again : 	baar baar
against : 	prep.##bar aks&nbsp;/&nbsp;bar KHelaaf&nbsp;/&nbsp;KHelaaf&nbsp;/&nbsp;muqaabil
agate : 		n.##iqiiq
age : 		v.i.##zaiif hona
age : 		n.##aehd&nbsp;/&nbsp;arsah&nbsp;/&nbsp;asr&nbsp;/&nbsp;imr&nbsp;/&nbsp;daur&nbsp;/&nbsp;sin&nbsp;/&nbsp;zamaanah
age(old) : 	a.##buzurgi&nbsp;/&nbsp;piiri&nbsp;/&nbsp;zaiifi 
aged : 		a.##buzurg&nbsp;/&nbsp;kuhan saal&nbsp;/&nbsp;piir&nbsp;/&nbsp;moammar&nbsp;/&nbsp;imr rasiidah
ageless : 	a.##imr rasiidgi sey mubarrah
agency : 		n.##aaRhat&nbsp;/&nbsp;aamliyat&nbsp;/&nbsp;wasiilah&nbsp;/&nbsp;zariiah
agenda : 		n.##peySH naamah&nbsp;/&nbsp;yaad daaSHt
agent : 		n.##aamil&nbsp;/&nbsp;faael&nbsp;/&nbsp;kaa rindah&nbsp;/&nbsp;kaar pardaaz&nbsp;/&nbsp;muKHtaar&nbsp;/&nbsp;numaa'indah&nbsp;/&nbsp;peySH kaar&nbsp;/&nbsp;waastah&nbsp;/&nbsp;wakiil
agent provocateur : n.##fitnah angeyz jaasuus
agglomerate : 	v.t.##ham bastah
agglomeration : 	n.##Dheyr
agglutinant : 	a.##chipkaa'u
agglutination : 	n.##chipak
agglutinative : 	v.t.##chipakney waala
aggrandise : 	v.t.##baRhaana&nbsp;/&nbsp;phaelaana&nbsp;/&nbsp;mubaalGHah karna
aggrandisement :  n.##taziim
aggravate : 	v.t.##bad tar karna&nbsp;/&nbsp;GHussah dilana&nbsp;/&nbsp;kam tar karna&nbsp;/&nbsp;SHadiid tar karna
aggregate : 	v.t.##ikaTTha karna&nbsp;/&nbsp;jama karna
aggregate : 	a.##kul&nbsp;/&nbsp;majmuui
aggregation : 	n.##bhiiR&nbsp;/&nbsp;majma 
aggression : 	n.##adaawat&nbsp;/&nbsp;Hamlah&nbsp;/&nbsp;jaarHiyat&nbsp;/&nbsp;peySH qadmi
aggressive : 	a.##aamaadah e jaarHiyat&nbsp;/&nbsp;jaar Haanah
aggressively : 	adv.##jaarHiyat sey
aggressor : 	n.##Hamlah aawar&nbsp;/&nbsp;jaareH
aggrieve : 	v.t.##aazurdah hona&nbsp;/&nbsp;ranj karna&nbsp;/&nbsp;sataana
aggrieved : 	a.##GHam zadah&nbsp;/&nbsp;jabr diidah&nbsp;/&nbsp;muta'assif&nbsp;/&nbsp;ranjiidah&nbsp;/&nbsp;ranjuur
aghast : 		a.##bhonchka&nbsp;/&nbsp;daehSHat zadah&nbsp;/&nbsp;dam bah KHud&nbsp;/&nbsp;haebat zadah&nbsp;/&nbsp;Haerat zadah&nbsp;/&nbsp;hakka bakka&nbsp;/&nbsp;waeHSHat zadah
agile : 		a.##aajil&nbsp;/&nbsp;chaalaak&nbsp;/&nbsp;chust&nbsp;/&nbsp;phurtiila&nbsp;/&nbsp;subuk
agility : 	n.##chusti&nbsp;/&nbsp;phurtiila pan&nbsp;/&nbsp;phurti&nbsp;/&nbsp;teyzi
agitate : 	v.t.##hal chal karna&nbsp;/&nbsp;hilaana&nbsp;/&nbsp;iSHteaal baazi karna
agitated : 	a.##bey taab
(to be)agitated : a.##ghabraana
agitation : 	n.##iSHteaal&nbsp;/&nbsp;khalbali&nbsp;/&nbsp;muzaahirah&nbsp;/&nbsp;peych o taab
agitator : 	n.##hilaurni&nbsp;/&nbsp;mathaani&nbsp;/&nbsp;SHoriSHi
agnostic : 	n.##laa adri
agnosticism : 	n.##maa'dah parasti
ago : 		a&nbsp;/&nbsp;adv.##guziSHtah&nbsp;/&nbsp;saabiqan
agog : 		a.##bey qaraar&nbsp;/&nbsp;muSHtaaq
agonic : 		n.##bey inHeraaf
agonised : 	a.##dukh bhara
agonising : 	a.##aziiyat KHeyz&nbsp;/&nbsp;SHadiid dard naak
agony : 		n.##azaab&nbsp;/&nbsp;aziiyat&nbsp;/&nbsp;jaan kani&nbsp;/&nbsp;karb
agora : 		n.##bazaar&nbsp;/&nbsp;chowk
agree : 		v.i.##ittefaaq karna&nbsp;/&nbsp;maanna&nbsp;/&nbsp;muttafiq hona&nbsp;/&nbsp;raazi hona
agreeable : 	a.##gawaara&nbsp;/&nbsp;marGHuub&nbsp;/&nbsp;raas&nbsp;/&nbsp;SHaad aab
agreed : 		a.##manzuur&nbsp;/&nbsp;raazi&nbsp;/&nbsp;muttafiqah
agreeing : 	a.##muttafiq&nbsp;/&nbsp;qaa'el&nbsp;/&nbsp;raza mand&nbsp;/&nbsp;saaz gaar
agreement : 	n.##aeHd&nbsp;/&nbsp;eyka&nbsp;/&nbsp;ham aahangi&nbsp;/&nbsp;eqraar naamah&nbsp;/&nbsp;haami&nbsp;/&nbsp;ittefaaq&nbsp;/&nbsp;itteHaad&nbsp;/&nbsp;meyl&nbsp;/&nbsp;meyl jol&nbsp;/&nbsp;milaap&nbsp;/&nbsp;moaahedah&nbsp;/&nbsp;mufaahmat&nbsp;/&nbsp;mutaabiqat&nbsp;/&nbsp;paemaan&nbsp;/&nbsp;qariinah&nbsp;/&nbsp;qaul&nbsp;/&nbsp;raza mandi&nbsp;/&nbsp;raazi naamah&nbsp;/&nbsp;samjhotah&nbsp;/&nbsp;SHart(f.)&nbsp;/&nbsp;wafaaq(m.)&nbsp;/&nbsp;wadah(m.)
agreements : 	n.##maraasim(m.)
agricultural : 	a.##zaraati&nbsp;/&nbsp;zari
agriculture : 	n.##baaRi(f.)&nbsp;/&nbsp;kaaSHt kaari(f.)&nbsp;/&nbsp;kheyti baaRi(f.)&nbsp;/&nbsp;zaraaat(f.)
agriculturist : 	n.##asaami&nbsp;/&nbsp;kaaSHt kaar
ague : 		n.##kap kapi waala buKHaar&nbsp;/&nbsp;maleyria buKHaar
ah : 	 : 	intj.##aah&nbsp;/&nbsp;haa'ey&nbsp;/&nbsp;afsos&nbsp;/&nbsp;uff
aha : 	 : 	intj.##aaha&nbsp;/&nbsp;achchha&nbsp;/&nbsp;aKH KHaah
ahead : 		adv.##aagey&nbsp;/&nbsp;agla&nbsp;/&nbsp;paehley&nbsp;/&nbsp;peySH peySH&nbsp;/&nbsp;saamney
aid : 		v.t.##dast giiri karna&nbsp;/&nbsp;madad karna
aid : 		n.##chaarah&nbsp;/&nbsp;dast giiri&nbsp;/&nbsp;eaanat&nbsp;/&nbsp;imdaad&nbsp;/&nbsp;kumak&nbsp;/&nbsp;madad&nbsp;/&nbsp;sahaara
aide : 		n.##maa taeHt&nbsp;/&nbsp;naa'eb
aigrette : 	n.##sar peySH
ail : 		v.t.##biimaar hona&nbsp;/&nbsp;dukhi hone&nbsp;/&nbsp;takliif meyn hona
ailing : 		n.##aliil&nbsp;/&nbsp;biimaar&nbsp;/&nbsp;dukhi&nbsp;/&nbsp;maandah&nbsp;/&nbsp;rogi
ailment : 	n.##aazaar&nbsp;/&nbsp;alaalat&nbsp;/&nbsp;illat&nbsp;/&nbsp;marz&nbsp;/&nbsp;SHikaayet
aim : 		v.t.##niSHaanah lagaana&nbsp;/&nbsp;qasd karna
